Sample,Aph(3'')-Ib,Aph(3')-III,Aph(3')-Ia,Aph(6)-Id,OXA-85,SPU-1,TEM-1B,Cat(pC194),CatQ,CfxA3,Erm(B),Erm(F),Erm(X),Lnu(C),Lsa(C),MCR-1,Mef(A),Msr(D),PenA,Sul2,Tet(32),Tet(B),Tet(L),Tet(M),Tet(O),Tet(Q),Tet(W),Tet(A)
DRR214959,.,.,.,.,.,.,1,1,1,1,1,1,1,1,.,.,1,1,1,.,1,1,.,1,1,1,1,1
DRR214960,.,.,.,.,.,.,1,1,.,1,1,1,1,.,1,.,1,1,1,.,1,1,.,1,1,1,1,1
DRR214961,.,1,.,.,.,.,.,.,.,1,1,1,1,1,1,.,1,1,.,.,1,1,1,1,1,1,1,1
DRR214962,.,.,.,.,.,.,.,.,.,1,1,1,1,.,1,.,1,1,1,.,1,1,.,1,.,1,1,1
DRR241310,.,.,1,.,.,.,.,.,.,1,1,1,1,.,.,1,1,1,1,.,.,1,.,1,.,1,1,1
SRR5892208,.,.,.,.,.,.,.,.,.,1,.,.,.,.,1,.,1,1,.,.,1,1,.,1,.,1,1,1
SRR5892209,.,.,.,.,.,.,.,.,.,1,1,1,.,.,.,.,1,1,.,.,1,1,.,1,1,1,.,.
SRR5892210,.,.,.,.,.,.,.,.,.,1,1,.,.,.,1,.,1,1,.,.,1,1,.,.,1,1,1,1
SRR5892211,.,.,.,.,1,.,.,.,.,1,1,.,.,.,.,.,1,1,1,.,1,.,.,.,.,1,.,1
SRR5892212,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,1,1,.,.,.,1,.,1,1,1,1,1
SRR5892213,.,.,.,.,.,1,1,.,.,1,.,.,.,.,.,.,1,1,1,.,1,1,.,1,.,1,.,.
SRR5892214,.,.,.,.,.,.,.,.,.,1,.,.,.,1,.,.,1,1,1,.,1,1,.,1,1,1,.,.
SRR5892215,1,.,1,1,.,1,1,.,.,1,.,1,.,.,.,.,1,1,1,1,1,1,.,1,.,1,1,1
SRR5892216,1,.,.,1,.,.,.,.,.,1,.,1,.,.,1,.,1,1,1,1,1,1,.,.,1,1,1,1
SRR5892217,.,.,.,.,.,.,.,.,.,1,1,1,.,.,.,.,1,1,.,.,.,.,.,.,1,1,1,1
SRS013942,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,1,1,.,.,.,.,.,1,.,.,.,.
SRS014468,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.
SRS014692,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,1,1,.,.,.,1,.,.,1,1,.,.
SRS015055,.,.,.,.,.,.,.,.,.,1,.,1,.,.,.,.,1,1,.,.,.,.,.,.,.,.,.,.
SRS019120,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,1,1,.,.,.,.,.,1,1,.,.,.
